country,Female,Male,Non-Binary,entropy,rank
Panama,0.390625,0.609375,0.0,0.608974469939131,45
Papua New Guinea,0.5,0.5,0.0,0.6309297535714574,21
Paraguay,0.38461538461538464,0.6153846153846154,0.0,0.6064727741416684,52
Peru,0.29515418502202645,0.7004405286343612,0.004405286343612335,0.5765923626294188,70
Philippines,0.5165624276117674,0.48251100301135047,0.000926569376882094,0.6365501820239982,16
Pitcairn Islands,0.0,1.0,0.0,-0.0,126
Poland,0.4866357133893839,0.5106035889070146,0.0027606977036014556,0.6462418365825355,11
Portugal,0.33388842631140714,0.6615320566194838,0.004579517069109076,0.6046421949601986,54
Puerto Rico,0.3867924528301887,0.6132075471698113,0.0,0.6073950508684275,48
Qatar,0.5211267605633803,0.4788732394366197,0.0,0.6301169592410398,23
Republic of Congo,1.0,0.0,0.0,-0.0,126
Republic of Serbia,0.3225806451612903,0.6733870967741935,0.004032258064516129,0.5948238330544785,61
Romania,0.47070572569906793,0.5272969374167776,0.0019973368841544607,0.6413254788038248,13
Russia,0.3270410571024068,0.6696554978763568,0.0033034450212364322,0.5943153415868899,62
Réunion,0.2,0.8,0.0,0.45548591500359514,112
Saint Kitts and Nevis,0.75,0.25,0.0,0.5118595071429148,102
Saint Lucia,0.3333333333333333,0.6666666666666666,0.0,0.579380164285695,68
Saint Pierre and Miquelon,0.0,1.0,0.0,-0.0,126
Saint Vincent and the Grenadines,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1
Samoa,1.0,0.0,0.0,-0.0,126
San Marino,0.5,0.5,0.0,0.6309297535714574,21
Saudi Arabia,0.491025641025641,0.5076923076923077,0.001282051282051282,0.6389317226315612,14
Senegal,1.0,0.0,0.0,-0.0,126
Seychelles,0.5,0.5,0.0,0.6309297535714574,21
Sierra Leone,0.0,1.0,0.0,-0.0,126
Singapore,0.38612933458294285,0.612933458294283,0.0009372071227741331,0.61350042179523,40
Slovakia,0.40987654320987654,0.5876543209876544,0.0024691358024691358,0.6306134417326615,22
Slovenia,0.3223684210526316,0.6776315789473685,0.0,0.5722144568387371,74
Solomon Islands,0.0,1.0,0.0,-0.0,126
Somalia,0.5,0.5,0.0,0.6309297535714574,21
South Africa,0.16023738872403562,0.8367952522255193,0.002967359050445104,0.41850750929417696,120
South Georgia and South Sandwich Islands,0.5,0.5,0.0,0.6309297535714574,21
South Korea,0.4577114427860697,0.5373134328358209,0.004975124378109453,0.6534229948590592,9
Spain,0.27901234567901234,0.7160493827160493,0.0049382716049382715,0.5657590264289148,79
Sri Lanka,0.21818181818181817,0.7818181818181819,0.0,0.4775088571963343,108
Sudan,0.34782608695652173,0.6521739130434783,0.0,0.5880969216574934,65
Suriname,0.25,0.75,0.0,0.5118595071429148,102
Svalbard,0.5,0.5,0.0,0.6309297535714574,21
Swaziland,1.0,0.0,0.0,-0.0,126
Sweden,0.28388746803069054,0.7127024722932651,0.0034100596760443308,0.5627311795067393,82
Switzerland,0.25838926174496646,0.738255033557047,0.003355704697986577,0.5396154141703453,92
Syria,0.21568627450980393,0.7647058823529411,0.0196078431372549,0.5580543744464006,86
Taiwan,0.2549019607843137,0.7450980392156863,0.0,0.5167033929620962,100
Thailand,0.2791519434628975,0.7173144876325088,0.0035335689045936395,0.559312343001265,85
The Bahamas,0.6923076923076923,0.3076923076923077,0.0,0.5618376711211266,83
Togo,0.0,0.0,1.0,-0.0,126
Trinidad and Tobago,0.3283582089552239,0.6716417910447762,0.0,0.5761903900026335,71
Tunisia,0.2894736842105263,0.7017543859649122,0.008771929824561403,0.5906952972427704,64
Turkey,0.3728813559322034,0.6232665639445301,0.003852080123266564,0.6225384825232666,32
Turks and Caicos Islands,0.0,1.0,0.0,-0.0,126
Uganda,0.2857142857142857,0.7142857142857143,0.0,0.5445684476282007,91
Ukraine,0.34344827586206894,0.6537931034482759,0.002758620689655172,0.6018000993077288,57
United Arab Emirates,0.3825503355704698,0.6129753914988815,0.0044742729306487695,0.6297059978349443,24
United Kingdom,0.34885327438518926,0.64617297596021,0.004973749654600719,0.6152611231808922,36
United Republic of Tanzania,0.0,1.0,0.0,-0.0,126
United States Virgin Islands,0.0,1.0,0.0,-0.0,126
United States of America,0.3515108665580523,0.6438781469982479,0.004610986443699856,0.6151199559344027,37
Uruguay,0.26666666666666666,0.7333333333333333,0.0,0.527861537140782,96
Uzbekistan,0.4,0.5,0.1,0.8586727110732549,3
Vatican,0.0,1.0,0.0,-0.0,126
Venezuela,0.2996742671009772,0.7003257328990228,0.0,0.5557812004185998,88
Vietnam,0.22580645161290322,0.7661290322580645,0.008064516129032258,0.5270203138101701,97
Yemen,0.1,0.9,0.0,0.29590327428938457,125
Zambia,0.0,1.0,0.0,-0.0,126
Zimbabwe,0.125,0.875,0.0,0.34295098019812775,123
