country,Female,Male,Non-Binary,entropy,rank
Afghanistan,0.0,1.0,0.0,-0.0,126
Albania,0.3548387096774194,0.6129032258064516,0.03225806451612903,0.7085893717484131,4
Algeria,0.21052631578947367,0.7894736842105263,0.0,0.4684574992810824,110
Andorra,0.3333333333333333,0.6666666666666666,0.0,0.579380164285695,68
Angola,0.125,0.875,0.0,0.34295098019812775,123
Anguilla,1.0,0.0,0.0,-0.0,126
Antarctica,0.34615384615384615,0.6346153846153846,0.019230769230769232,0.6661066277783462,7
Antigua and Barbuda,0.4,0.6,0.0,0.6126016192893442,41
Argentina,0.27101769911504425,0.7212389380530974,0.007743362831858407,0.5708680648291984,76
Armenia,0.6666666666666666,0.3333333333333333,0.0,0.579380164285695,68
Aruba,0.36363636363636365,0.6363636363636364,0.0,0.5966452229439911,59
Australia,0.3099866844207723,0.6838881491344874,0.006125166444740347,0.5954102920611295,60
Austria,0.33,0.666,0.004,0.5995296172995593,58
Azerbaijan,0.44,0.56,0.0,0.6243602109020209,28
Bahrain,0.40860215053763443,0.5913978494623656,0.0,0.6156364212140982,35
Bangladesh,0.1661807580174927,0.8309037900874635,0.0029154518950437317,0.4270646198840638,117
Barbados,0.6923076923076923,0.3076923076923077,0.0,0.5618376711211266,83
Belarus,0.3125,0.6875,0.0,0.5653371812436325,80
Belgium,0.2771213748657358,0.7207303974221267,0.0021482277121374865,0.5505660950349233,89
Belize,0.25,0.75,0.0,0.5118595071429148,102
Benin,1.0,0.0,0.0,-0.0,126
Bermuda,0.0,1.0,0.0,-0.0,126
Bhutan,0.625,0.375,0.0,0.6021808102656677,56
Bolivia,0.0,1.0,0.0,-0.0,126
Bosnia and Herzegovina,0.2605042016806723,0.7394957983193278,0.0,0.5220983251095648,99
Botswana,0.3333333333333333,0.6666666666666666,0.0,0.579380164285695,68
Bouvet Island,0.0,1.0,0.0,-0.0,126
Brazil,0.29189394900418625,0.7027781301534949,0.005327920842318914,0.578182316118349,69
British Virgin Islands,1.0,0.0,0.0,-0.0,126
Brunei,0.36,0.62,0.02,0.6757771722222379,5
Bulgaria,0.46516613076098606,0.5348338692390139,0.0,0.6287189974630807,25
Burkina Faso,0.25,0.5,0.25,0.9463946303571862,2
Cambodia,0.18181818181818182,0.8181818181818182,0.0,0.4315802016311458,115
Cameroon,0.5,0.5,0.0,0.6309297535714574,21
Canada,0.3559976247030879,0.6379156769596199,0.006086698337292162,0.6239800284136505,30
Canarias,0.175,0.825,0.0,0.42210199594763664,118
Cape Verde,0.0,1.0,0.0,-0.0,126
Cayman Islands,0.25,0.75,0.0,0.5118595071429148,102
Chad,0.0,1.0,0.0,-0.0,126
Chile,0.33169934640522875,0.6617647058823529,0.006535947712418301,0.6117936530545569,43
China,0.3653250773993808,0.6253869969040248,0.009287925696594427,0.641605940025806,12
Christmas Island,1.0,0.0,0.0,-0.0,126
Colombia,0.29914529914529914,0.698005698005698,0.002849002849002849,0.5722367131983745,73
Comoros,0.0,1.0,0.0,-0.0,126
Costa Rica,0.2391304347826087,0.7608695652173914,0.0,0.5007003191877557,104
Croatia,0.3645655877342419,0.6303236797274276,0.005110732538330494,0.6241864751133764,29
Cuba,0.2,0.8,0.0,0.45548591500359514,112
Curaçao,0.5,0.5,0.0,0.6309297535714574,21
Cyprus,0.3333333333333333,0.6666666666666666,0.0,0.579380164285695,68
Czech Republic,0.4090909090909091,0.5872727272727273,0.0036363636363636364,0.6359501671999985,17
Democratic Republic of the Congo,0.25,0.75,0.0,0.5118595071429148,102
Denmark,0.3390957446808511,0.6542553191489362,0.006648936170212766,0.6168042372862478,34
Djibouti,0.6666666666666666,0.3333333333333333,0.0,0.579380164285695,68
Dominica,0.5,0.5,0.0,0.6309297535714574,21
Dominican Republic,0.273972602739726,0.726027397260274,0.0,0.5344653202482348,93
Ecuador,0.2833333333333333,0.7,0.016666666666666666,0.6146226977184326,39
Egypt,0.391156462585034,0.608843537414966,0.0,0.6091890503510933,44
El Salvador,0.2631578947368421,0.7105263157894737,0.02631578947368421,0.627941172215363,27
Equatorial Guinea,0.0,1.0,0.0,-0.0,126
Estonia,0.4088541666666667,0.5885416666666666,0.0026041666666666665,0.6309456865113496,20
Faroe Islands,0.4,0.6,0.0,0.6126016192893442,41
Fiji,0.3333333333333333,0.6666666666666666,0.0,0.579380164285695,68
Finland,0.381841596909208,0.6072118480360592,0.010946555054732776,0.6553384520035407,8
France,0.27338915180196577,0.7193301783764107,0.0072806698216235895,0.5710467014657046,75
French Guiana,0.0,1.0,0.0,-0.0,126
French Polynesia,0.0,1.0,0.0,-0.0,126
Gabon,0.0,1.0,0.0,-0.0,126
Georgia,0.464,0.528,0.008,0.6664138788274433,6
Germany,0.30763416477702193,0.6883345930964978,0.004031242126480222,0.5843362895379501,67
Ghana,0.0,1.0,0.0,-0.0,126
Greece,0.35964912280701755,0.6337719298245614,0.006578947368421052,0.6279562313934804,26
Greenland,0.375,0.625,0.0,0.6021808102656677,56
Grenada,0.6666666666666666,0.3333333333333333,0.0,0.579380164285695,68
Guam,0.22727272727272727,0.7727272727272727,0.0,0.48785171506317476,107
Guatemala,0.23076923076923078,0.7692307692307693,0.0,0.4917150007886506,106
Guernsey,0.3103448275862069,0.6896551724137931,0.0,0.5637805949652542,81
Guinea,0.5,0.5,0.0,0.6309297535714574,21
Guyana,0.16666666666666666,0.8333333333333334,0.0,0.41011848630651804,121
Haiti,0.0,1.0,0.0,-0.0,126
Honduras,0.43478260869565216,0.5652173913043478,0.0,0.6231645912420036,31
Hungary,0.4474187380497132,0.5506692160611855,0.0019120458891013384,0.6374865582859559,15
Iceland,0.21052631578947367,0.7894736842105263,0.0,0.4684574992810824,110
India,0.17270429654591407,0.827295703454086,0.0,0.41884513530909084,119
Indonesia,0.2351238340302348,0.7619813444837569,0.002894821486008363,0.5137635388606677,101
Iran,0.2672413793103448,0.7327586206896551,0.0,0.5283899635224623,95
Iraq,0.30120481927710846,0.6867469879518072,0.012048192771084338,0.6123601777540664,42
Ireland,0.3390928725701944,0.6565874730021598,0.004319654427645789,0.6066445993431322,51
Isle of Man,0.25,0.75,0.0,0.5118595071429148,102
Israel,0.4368770764119601,0.5614617940199336,0.0016611295681063123,0.6339755111605055,18
Italy,0.37433155080213903,0.6235294117647059,0.0021390374331550803,0.6148690088074672,38
Ivory Coast,1.0,0.0,0.0,-0.0,126
Jamaica,0.32,0.68,0.0,0.5706011702567104,77
Jersey,0.14285714285714285,0.8571428571428571,0.0,0.3733039603858873,122
Jordan,0.2876712328767123,0.7123287671232876,0.0,0.5461920984284688,90
Kazakhstan,0.23880597014925373,0.7611940298507462,0.0,0.5003582131546587,105
Kenya,0.18518518518518517,0.8148148148148148,0.0,0.4361553469506394,114
Kiribati,0.0,1.0,0.0,-0.0,126
Kosovo,0.125,0.875,0.0,0.34295098019812775,123
Kuwait,0.3860759493670886,0.6139240506329114,0.0,0.6070935266879629,50
Kyrgyzstan,0.0,1.0,0.0,-0.0,126
Laos,1.0,0.0,0.0,-0.0,126
Latvia,0.35121951219512193,0.6463414634146342,0.0024390243902439024,0.6046273308480113,55
Lebanon,0.2653061224489796,0.7346938775510204,0.0,0.5266044368883294,98
Liberia,0.25,0.75,0.0,0.5118595071429148,102
Libya,0.24324324324324326,0.7567567567567568,0.0,0.5049912585825582,103
Liechtenstein,0.0,1.0,0.0,-0.0,126
Lithuania,0.39276485788113696,0.603359173126615,0.003875968992248062,0.6311798823483435,19
Luxembourg,0.20512820512820512,0.7948717948717948,0.0,0.4618826563783712,111
Macedonia,0.25,0.75,0.0,0.5118595071429148,102
Madagascar,0.2727272727272727,0.7272727272727273,0.0,0.5333570581245946,94
Malaysia,0.35231895850284783,0.645240032546786,0.0024410089503661514,0.6052453695602595,53
Maldives,0.19230769230769232,0.8076923076923077,0.0,0.44560933704503847,113
Mali,0.6666666666666666,0.3333333333333333,0.0,0.579380164285695,68
Malta,0.3472222222222222,0.6527777777777778,0.0,0.5877506679540392,66
Marshall Islands,0.0,1.0,0.0,-0.0,126
Mauritania,0.0,1.0,0.0,-0.0,126
Mauritius,0.325,0.675,0.0,0.5739795876036418,72
Mexico,0.3191287878787879,0.6770833333333334,0.003787878787878788,0.5913399781067963,63
Moldova,0.3103448275862069,0.6896551724137931,0.0,0.5637805949652542,81
Monaco,0.0,1.0,0.0,-0.0,126
Mongolia,0.2375,0.75,0.0125,0.5570335975371112,87
Montenegro,0.36363636363636365,0.6363636363636364,0.0,0.5966452229439911,59
Morocco,0.15625,0.8375,0.00625,0.428070612344438,116
Mozambique,0.0,1.0,0.0,-0.0,126
Myanmar,0.30434782608695654,0.6956521739130435,0.0,0.559345027039261,84
Namibia,0.0,1.0,0.0,-0.0,126
Nepal,0.12280701754385964,0.8771929824561403,0.0,0.3390465610973307,124
Netherlands,0.35170857511283043,0.6450676982591876,0.003223726627981947,0.6087785623739341,46
New Caledonia,0.5,0.5,0.0,0.6309297535714574,21
New Zealand,0.32450331125827814,0.6688741721854304,0.006622516556291391,0.6075267452422295,47
Nicaragua,0.2727272727272727,0.7272727272727273,0.0,0.5333570581245946,94
Nigeria,0.26666666666666666,0.7,0.03333333333333333,0.651288847019223,10
North Korea,0.18181818181818182,0.8181818181818182,0.0,0.4315802016311458,115
Northern Mariana Islands,0.5,0.5,0.0,0.6309297535714574,21
Norway,0.3406052076002815,0.6551724137931034,0.00422237860661506,0.6071039283483074,49
Null Island,0.0,1.0,0.0,-0.0,126
Oman,0.5714285714285714,0.42857142857142855,0.0,0.6216097450797566,33
Pakistan,0.18877551020408162,0.8061224489795918,0.00510204081632653,0.46912845147149934,109
Palestine,0.3181818181818182,0.6818181818181818,0.0,0.5693467715383744,78
