country,num_users,num_days_spent_watching_mean,rank
Albania,30,62.04500964506173,107
Algeria,78,92.79770892687559,21
Andorra,6,41.127546296296295,172
Angola,7,61.98204365079365,109
Antarctica,25,43.005921759259266,167
Antigua and Barbuda,4,67.67413194444444,83
Argentina,729,69.12134587905807,70
Armenia,6,54.947974537037034,137
Aruba,8,42.79479166666667,169
Australia,2606,55.50104733378813,134
Austria,370,72.58092214089089,58
Azerbaijan,40,43.546687500000004,166
Bahrain,76,68.98296067860623,71
Bangladesh,301,73.14482177464009,52
Barbados,7,26.51438492063492,179
Belarus,144,66.38724344135802,88
Belgium,772,61.8457276824266,111
Belize,6,52.95300925925926,141
Bermuda,3,116.75208333333335,13
Bhutan,5,69.91611805555556,66
Bolivia,14,69.80269923941799,68
Bosnia and Herzegovina,88,68.45717342697812,75
Botswana,3,19.53240740740741,182
Brazil,6634,67.86213493688518,82
British Virgin Islands,2,10.105555555555554,188
Brunei,38,56.4222328825536,131
Bulgaria,783,62.279439226503,105
Burkina Faso,1,68.02913194444444,80
Cambodia,7,42.46421957671958,170
Cameroon,1,186.0134259259259,2
Canada,4633,61.29260199075073,116
Canarias,36,81.511529063786,29
Cape Verde,2,37.025,174
Cayman Islands,3,122.99143518518518,11
Chad,1,182.9388888888889,3
Chile,496,75.1918733432273,44
China,192,56.5706770230517,129
Colombia,275,74.1007050084175,49
Comoros,1,86.92291666666667,24
Costa Rica,113,72.93506196738774,55
Croatia,469,58.18273313492064,126
Cuba,3,59.47368827160494,122
Curaçao,2,53.88055555555556,138
Cyprus,30,79.25906442901234,35
Czech Republic,415,62.96723583221776,101
Democratic Republic of the Congo,4,55.49785300925925,135
Denmark,616,62.697346549573105,103
Djibouti,3,27.63449074074074,178
Dominica,3,55.52986111111111,133
Dominican Republic,59,79.20715101224106,36
Ecuador,44,72.98946206860269,53
Egypt,251,64.29954146377453,94
El Salvador,29,94.26580300127713,19
Estonia,280,66.26385846560846,89
