studio,num_animes
10Gauge,6
2:10 AM Animation,3
33 Collective,1
3xCube,1
81 Produce,1
8bit,37
A-1 Pictures,189
A-Line,1
A-Real,4
A.C.G.T.,31
ACC Production,2
AIC,118
AIC ASTA,27
AIC Build,9
AIC Classic,5
AIC Frontier,2
AIC PLUS+,17
AIC Spirits,10
AIC Takarazuka,1
APPP,17
AT-2,15
AXsiZ,5
Actas,42
Agent 21,3
Ajia-do,36
Amber Film Works,1
Amuse,1
An DerCen,2
Anima,1
Animaruya,1
Animation Do,2
Anime Antenna Iinkai,3
Anime R,1
Annapuru,1
Anpro,3
Arcs Create,1
Arms,73
Artland,48
Artmic,16
Asahi Production,39
Ascension,5
Ashi Productions,7
Asura Film,1
Aubec,2
Automatic Flowers Studio,1
Azeta Pictures,2
B&T,1
BOOTLEG,1
Bandai Namco Pictures,23
Bandai Visual,1
Barnum Studio,5
BeSTACK,2
Bee Media,4
Bee Train,25
Beijing Huihuang Animation Company,1
Beijing Rocen Digital,1
Bibury Animation Studios,1
Big Bang,1
Blade,2
Blue Cat,8
Bones,117
Bouncy,3
Boyan Pictures,1
Brain's Base,86
BreakBottle,6
Bridge,15
Buemon,1
C-Station,8
C2C,8
CG Year,3
CMAY Animation,9
CUCURI,1
Calf Studio,2
Chaos Project,6
Charaction,4
Chippai,1
Chiptune,1
ChuChu,3
Circle Tribute,2
CloverWorks,3
CoMix Wave Films,16
Coastline Animation Studio,1
Code,1
Collaboration Works,12
Connect,8
Cookie Jar Entertainment,1
Craftar Studios,4
Creators Dot Com,3
Creators in Pack,17
CyberConnect2,1
Cyclone Graphics,1
Cygames,1
D & D Pictures,3
D.A.S.T.,2
DAX Production,5
DLE,144
DMM.futureworks,3
DR Movie,2
Daewon Media,8
Dai Nippon Printing,1
Dai-Ichi Douga,1
DandeLion Animation Studio,1
Darts,3
Daume,29
David Production,23
Digital Frontier,8
Digital Media Lab,2
Digital Network Animation,1
Diomedéa,47
Doga Kobo,64
Dongwoo A&E,10
Dongyang Animation,1
Dwango,1
Dynamo Pictures,1
E&G Films,8
EDGE,1
EKACHI EPILKA,1
EMT Squared,14
Echo,1
Echoes,3
Egg,4
Egg Firm,2
Eiken,43
Ekura Animal,1
Emon,1
Encourage Films,9
Enoki Films,1
FOREST Hunting One,2
Fanworks,18
Felix Film,1
Fifth Avenue,1
Flavors Soft,15
Foch Films,9
Front Line,2
Fuji TV,1
Fukushima Gaina,8
Future Planet,1
G&G Entertainment,2
G-Lam,9
G-angle,1
GANSIS,1
GARDEN LODGE,2
GEMBA,4
GEN Productions,1
GRIZZLY,1
Gainax,82
Gakken Eigakyoku,6
Gallop,55
Gathering,32
Genco,3
Geno Studio,5
Ginga Ya,2
GoHands,22
Gonzo,123
Graphinica,11
Green Bunny,1
Group TAC,46
HS Pictures Studio,3
Hal Film Maker,30
Haoliners Animation League,37
HeART-BIT,1
Heewon Entertainment,1
Himajin Planning,2
Hiro Media,1
Hoods Drifters Studio,5
Hoods Entertainment,20
Hotline,2
Husio Studio,2
ILCA,14
Idea Factory,1
Image House,3
Imagica Imageworks,1
Imagin,8
Imagineer,2
Indeprox,1
Ishikawa Pro,5
Ishimori Entertainment,1
Issen,4
Iyasakadou Film,1
J.C.Staff,333
JCF,3
Japan Taps,1
Japan Vistec,2
Jinnis Animation Studios,6
Joker Films,2
Jumondo,2
KAGAYA Studio,2
KIZAWA Studio,1
KOO-KI,2
Kachidoki Studio,50
Kaeruotoko Shokai,1
Kamikaze Douga,6
Kanaban Graphics,12
Kaname Productions,1
Karaku,2
Karasfilms,1
Kazami Gakuen Koushiki Douga-bu,2
Kazuki Production,1
Kenji Studio,3
KeyEast,2
Khara,12
Kinema Citrus,35
Kino Production,1
Kitty Films,2
Knack Productions,7
Kokusai Eigasha,2
Kyoto Animation,110
Kyotoma,4
LAN Studio,3
LIDENFILMS,41
LMD,2
LandQ studios,2
Lapin Track,1
Larx Entertainment,2
Lay-duce,10
Lerche,43
Lesprit,3
Life Work,4
Light Chaser Animation Studios,2
Lilix,3
L²Studio,4
M.S.C,11
MAPPA,39
MMDGP,2
Madhouse,349
Magic Bus,27
Majin,3
Manglobe,34
Marine Entertainment,2
Marvy Jack,4
Mary Jane,1
Marza Animation Planet,6
Mediabank,1
Meruhensha,1
Mili Pictures,3
Milky Animation Label,1
Milky Cartoon,5
Millepensee,21
Minakata Laboratory,7
Minami Machi Bugyousho,3
Mirai Film,1
MooGoo,3
Mook Animation,1
Mook DLE,1
Moss Design Unit,2
Mushi Production,30
NAZ,10
NHK,1
NHK Enterprises,1
Nakamura Production,1
Namu Animation,2
Natural High,2
Neft Film,2
Next Media Animation,7
Nexus,6
Nice Boat Animation,1
Nippon Animation,209
Nishiki Studio,1
Nomad,26
Nut,4
OLM,199
OLM Digital,9
October Media,1
Oddjob,3
Odolttogi,1
Office AO,1
Office DCI,1
Office Nobu,1
Office Take Off,5
Office Takeout,20
Oh! Production,4
Onionskin,8
Opera House,5
Orange,8
Ordet,18
Oxybot,2
Oz Inc.,1
P.A. Works,42
PINE JAM,6
PPM,2
PRA,1
Palm Studio,7
Panda Factory,2
Panmedia,1
Passione,10
Pastel,8
Pb Animation Co. Ltd.,2
Phoenix Entertainment,7
Picograph,1
Picona,1
Picture Magic,9
Pie in the sky,9
Pierrot,253
Pierrot Plus,12
Piko Studio,1
Pink Pineapple,2
Piso Studio,1
Planet,4
Platinum Vision,4
Plum,3
Plus Heads,1
PoRO,42
Pollyanna Graphics,3
Polygon Pictures,28
Pops Inc.,5
Primastea,1
PrimeTime,6
Production I.G,302
Production IMS,24
Production Reed,87
Project No.9,13
Public & Basic,2
Purple Cow Studio Japan,2
Puzzle Animation Studio Limited,2
Qualia Animation,2
Queen Bee,4
REALTHING,2
RG Animation Studios,18
Rabbit Gate,1
Rabbit Machine,1
Radix,16
Remic,4
Revoroot,2
Rikuentai,1
Ripple Film,2
Ripromo,1
Rising Force,5
Robot Communications,3
Rockwell Eyes,2
Romanov Films,1
SANZIGEN,25
SBS TV Production,1
SELFISH,2
Sakura Create,1
Sanrio,3
Satelight,88
Schoolzone,2
Science SARU,4
Seven,55
Seven Arcs,21
Seven Arcs Pictures,19
Shaft,120
Shanghai Animation Film Studio,5
Shimogumi,4
Shin-Ei Animation,157
Shinkuukan,1
Shirogumi,17
Shochiku Animation Institute,5
Shogakukan Music & Digital Entertainment,5
Shueisha,1
Shuka,15
Signal.MD,13
Silver,83
Soeishinsha,1
Sotsu,2
Sparkly Key Animation Studio,15
Sparky Animation,1
Sprite Animation Studios,1
