studio,num_animes
Square Enix,3
Steve N' Steven,4
Stingray,2
Strawberry Meets Pictures,1
Studio 1st,6
Studio 3Hz,11
Studio 4°C,68
Studio 9 Maiami,14
Studio A-CAT,5
Studio Animal,4
Studio Binzo,2
Studio Blanc.,4
Studio Bogey,3
Studio CA,1
Studio Chizu,3
Studio Colorido,8
Studio Comet,36
Studio Core,1
Studio Dadashow,1
Studio Deen,261
Studio Egg,3
Studio Eromatick,8
Studio Fantasia,24
Studio Flad,1
Studio Flag,4
Studio G-1Neo,2
Studio Ghibli,53
Studio Gokumi,35
Studio Hakk,1
Studio Hibari,53
Studio Jam,23
Studio Junio,4
Studio Khronos,1
Studio Kikan,4
Studio Korumi,1
Studio Kyuuma,1
Studio Lings,1
Studio Live,8
Studio M2,2
Studio March,1
Studio Matrix,3
Studio Meditation With a Pencil,1
Studio Moriken,2
Studio Nanahoshi,1
Studio Nue,1
Studio OX,1
Studio Ponoc,1
Studio Ppuri,1
Studio PuYUKAI,20
Studio Rikka,7
Studio Sign,3
Studio Take Off,1
Studio UGOKI,1
Studio Unicorn,2
Studio VOLN,4
Studio WHO,1
Studio Wombat,2
Studio World,6
Studio Z5,1
Studio Zealot,1
Studio Zero,2
Studio! Cucuri,2
Success Corp.,1
Sugar Boy,3
Sunrise,466
Sunwoo Entertainment,1
Suzuki Mirano,12
SynergySP,42
T-Rex,25
T.P.O,1
TAKI Corporation,3
TMS Entertainment,266
TNK,48
TOCSIS,1
TOHO animation,1
TROYCA,8
TUBA,2
TYO Animations,31
Takara Tomy A.R.T.S,1
Tama Production,1
Tamura Shigeru Studio,1
Tatsunoko Production,157
Team YokkyuFuman,2
Tele-Cartoon Japan,1
Telecom Animation Film,33
Telescreen,6
Tengu Kobo,2
Tezuka Productions,33
The Answer Studio,11
Think Corporation,1
Three-d,2
Thundray,2
Toei Animation,745
Toei Video,2
Tokyo Kids,9
Tokyo Media Connections,1
Tokyo Movie Shinsha,29
Tomason,2
Tomovies,3
Tomoyasu Murata Company,1
Tonko House,1
Topcraft,3
Trans Arts,9
Tri-Slash,1
TriF Studio,1
Triangle Staff,17
Trigger,25
Trinet Entertainment,6
Triple X,2
Tsuburaya Productions,1
Tsuchida Productions,3
Tsukimidou,1
Twilight Studio,1
Typhoon Graphics,5
Usagi Ou,6
Vasoon Animation,3
Vega Entertainment,6
Venet,3
View Works,2
Visual 80,3
W-Toon Studio,8
WAO World,7
Wawayu Animation,2
White Fox,31
Will Palette,1
Wit Studio,36
Xebec,149
Y.O.U.C,15
"Yamamura Animation, Inc.",6
Yamato Works,1
Yaoyorozu,7
Yokohama Animation Lab,1
Yumeta Company,11
Zero-G,7
Zero-G Room,5
Zexcs,67
animate Film,27
asread.,24
domerica,2
drop,2
dwarf,17
feel.,63
helo.inc,1
iDRAGONS Creative Studio,1
ixtl,3
pH Studio,6
production doA,2
teamKG,3
ufotable,60
