id,studio,logo_url
441,8bit,https://cdn.myanimelist.net/images/company/441.png
1185,81 Produce,https://cdn.myanimelist.net/images/company/1185.png
1286,10Gauge,https://cdn.myanimelist.net/images/company/1286.png
2495,8PAN,https://cdn.myanimelist.net/images/company/2495.png
2503,7doc,https://cdn.myanimelist.net/images/company/2503.png
2264,5 Inc.,https://cdn.myanimelist.net/images/company/2264.png
2137,1IN,https://cdn.myanimelist.net/images/company/2137.png
2531,Youth Film Studio,https://cdn.myanimelist.net/images/company/2531.png
1838,33 Collective,https://cdn.myanimelist.net/images/company/1838.png
17,Aniplex,https://cdn.myanimelist.net/images/company/17.png
48,AIC,https://cdn.myanimelist.net/images/company/48.png
56,A-1 Pictures,https://cdn.myanimelist.net/images/company/56.png
242,Ashi Productions,https://cdn.myanimelist.net/images/company/242.png
2071,AQUA ARIS,https://cdn.myanimelist.net/images/company/2071.png
60,Actas,https://cdn.myanimelist.net/images/company/60.png
406,Asahi Production,https://cdn.myanimelist.net/images/company/406.png
8,Artland,https://cdn.myanimelist.net/images/company/8.png
179,A.C.G.T.,https://cdn.myanimelist.net/images/company/179.png
88,AIC ASTA,https://cdn.myanimelist.net/images/company/88.png
292,AIC PLUS+,https://cdn.myanimelist.net/images/company/292.png
473,Ascension,https://cdn.myanimelist.net/images/company/473.png
1939,Alpha Animation,https://cdn.myanimelist.net/images/company/1939.png
1299,AXsiZ,https://cdn.myanimelist.net/images/company/1299.png
1399,Asura Film,https://cdn.myanimelist.net/images/company/1399.png
436,AIC Build,https://cdn.myanimelist.net/images/company/436.png
2506,Ascendent Animation,https://cdn.myanimelist.net/images/company/2506.png
2048,ASK Animation Studio,https://cdn.myanimelist.net/images/company/2048.png
1874,Arvo Animation,https://cdn.myanimelist.net/images/company/1874.png
1306,AIC Classic,https://cdn.myanimelist.net/images/company/1306.png
1952,Animation Staff Room,https://cdn.myanimelist.net/images/company/1952.png
1949,Anon Pictures,https://cdn.myanimelist.net/images/company/1949.png
1257,A-Real,https://cdn.myanimelist.net/images/company/1257.png
521,Anpro,https://cdn.myanimelist.net/images/company/521.png
171,A-Line,https://cdn.myanimelist.net/images/company/171.png
1986,arma bianca,https://cdn.myanimelist.net/images/company/1986.png
1983,Anima&Co.,https://cdn.myanimelist.net/images/company/1983.png
2255,AIC RIGHTS,https://cdn.myanimelist.net/images/company/2255.png
2085,Acca effe,https://cdn.myanimelist.net/images/company/2085.png
2460,Anchor,https://cdn.myanimelist.net/images/company/2460.png
2298,AtelierPontdarc,https://cdn.myanimelist.net/images/company/2298.png
2272,AC-Bu,https://cdn.myanimelist.net/images/company/2272.png
2648,Au Praxinoscope,https://cdn.myanimelist.net/images/company/2648.png
2572,Adonero,https://cdn.myanimelist.net/images/company/2572.png
2388,Ai Yume Mai,https://cdn.myanimelist.net/images/company/2388.png
2362,Aiti St.,https://cdn.myanimelist.net/images/company/2362.png
2346,Alice Production,https://cdn.myanimelist.net/images/company/2346.png
2265,ARECT,https://cdn.myanimelist.net/images/company/2265.png
1966,Arch,https://cdn.myanimelist.net/images/company/1966.png
1861,Animation Planet,https://cdn.myanimelist.net/images/company/1861.png
878,An DerCen,https://cdn.myanimelist.net/images/company/878.png
2749,Anime Tokyo,https://cdn.myanimelist.net/images/company/2749.png
2613,Aurora Animation,https://cdn.myanimelist.net/images/company/2613.png
2551,Animation 501,https://cdn.myanimelist.net/images/company/2551.png
2514,AIC Project,https://cdn.myanimelist.net/images/company/2514.png
2510,ANiMix Project,https://cdn.myanimelist.net/images/company/2510.png
2482,Atti Production,https://cdn.myanimelist.net/images/company/2482.png
2449,Atorie A.B.C.,https://cdn.myanimelist.net/images/company/2449.png
2413,AION Studio,https://cdn.myanimelist.net/images/company/2413.png
2409,Amineworks,https://cdn.myanimelist.net/images/company/2409.png
2360,Amarcord,https://cdn.myanimelist.net/images/company/2360.png
2359,Aiko,https://cdn.myanimelist.net/images/company/2359.png
2355,Alfred Imageworks,https://cdn.myanimelist.net/images/company/2355.png
2079,Animation Lab Japan,https://cdn.myanimelist.net/images/company/2079.png
