id,studio_en,studio_ja,logo_url
1,Pierrot,ぴえろ,https://cdn.myanimelist.net/images/company/1.png
2,Kyoto Animation,京都アニメーション,https://cdn.myanimelist.net/images/company/2.png
3,Gonzo,ゴンゾ,https://cdn.myanimelist.net/images/company/3.png
4,Bones,ボンズ,https://cdn.myanimelist.net/images/company/4.png
5,Bee Train,ビィートレイン,https://cdn.myanimelist.net/images/company/5.png
6,Gainax,ガイナックス,https://cdn.myanimelist.net/images/company/6.png
7,J.C.Staff,ジェー・シー・スタッフ,https://cdn.myanimelist.net/images/company/7.png
8,Artland,アートランド,https://cdn.myanimelist.net/images/company/8.png
10,Production I.G,プロダクション・アイジー,https://cdn.myanimelist.net/images/company/10.png
11,Madhouse,マッドハウス,https://cdn.myanimelist.net/images/company/11.png
13,Studio 4°C,スタジオよんどしい,https://cdn.myanimelist.net/images/company/13.png
14,Sunrise,サンライズ,https://cdn.myanimelist.net/images/company/14.png
15,Sony Pictures Entertainment,ソニー・ピクチャーズ・エンタテインメント,https://cdn.myanimelist.net/images/company/15.png
16,TV Tokyo,テレビ東京,https://cdn.myanimelist.net/images/company/16.png
17,Aniplex,アニプレックス,https://cdn.myanimelist.net/images/company/17.png
18,Toei Animation,東映アニメーション,https://cdn.myanimelist.net/images/company/18.png
21,Studio Ghibli,スタジオジブリ,https://cdn.myanimelist.net/images/company/21.png
22,Nippon Animation,日本アニメーション,https://cdn.myanimelist.net/images/company/22.png
23,Bandai Visual,バンダイビジュアル,https://cdn.myanimelist.net/images/company/23.png
24,Studio Fantasia,スタジオ・ファンタジア,https://cdn.myanimelist.net/images/company/24.png
25,Milky Animation Label,,https://cdn.myanimelist.net/images/company/25.png
27,Xebec,ジーベック,https://cdn.myanimelist.net/images/company/27.png
28,OLM,オー・エル・エム,https://cdn.myanimelist.net/images/company/28.png
29,VAP,バップ,https://cdn.myanimelist.net/images/company/29.png
30,Ajia-do,亜細亜堂,https://cdn.myanimelist.net/images/company/30.png
31,Geneon Universal Entertainment,NBCユニバーサルエンターテイメント,https://cdn.myanimelist.net/images/company/31.png
32,Manglobe,マングローブ,https://cdn.myanimelist.net/images/company/32.png
33,WOWOW,WOWOW,https://cdn.myanimelist.net/images/company/33.png
34,Hal Film Maker,ハルフィルムメーカー,https://cdn.myanimelist.net/images/company/34.png
35,Seven Arcs,セブンアークス,https://cdn.myanimelist.net/images/company/35.png
36,Gallop,ぎゃろっぷ,https://cdn.myanimelist.net/images/company/36.png
37,Studio Deen,スタジオディーン,https://cdn.myanimelist.net/images/company/37.png
38,Arms,アームス,https://cdn.myanimelist.net/images/company/38.png
39,Daume,童夢,https://cdn.myanimelist.net/images/company/39.png
40,m.o.e.,,https://cdn.myanimelist.net/images/company/40.png
41,Satelight,サテライト,https://cdn.myanimelist.net/images/company/41.png
42,GDH,GDH,https://cdn.myanimelist.net/images/company/42.png
43,ufotable,ユーフォーテーブル,https://cdn.myanimelist.net/images/company/43.png
44,Shaft,シャフト,https://cdn.myanimelist.net/images/company/44.png
45,Pink Pineapple,ピンクパイナップル,https://cdn.myanimelist.net/images/company/45.png
47,Khara,カラー,https://cdn.myanimelist.net/images/company/47.png
48,AIC,アニメインターナショナルカンパニー,https://cdn.myanimelist.net/images/company/48.png
49,Remic,REMIC,https://cdn.myanimelist.net/images/company/49.png
50,KSS,ケイエスエス,https://cdn.myanimelist.net/images/company/50.png
51,Diomedéa,ディオメディア,https://cdn.myanimelist.net/images/company/51.png
52,Avex Entertainment,エイベックス,https://cdn.myanimelist.net/images/company/52.png
53,Dentsu,電通,https://cdn.myanimelist.net/images/company/53.png
54,Mook Animation,ムークアニメーション,https://cdn.myanimelist.net/images/company/54.png
55,TV Asahi,テレビ朝日,https://cdn.myanimelist.net/images/company/55.png
56,A-1 Pictures,A-1 Pictures,https://cdn.myanimelist.net/images/company/56.png
58,Square Enix,スクウェア・エニックス,https://cdn.myanimelist.net/images/company/58.png
59,Beat Frog,,https://cdn.myanimelist.net/images/company/59.png
60,Actas,アクタス,https://cdn.myanimelist.net/images/company/60.png
61,Frontier Works,フロンティアワークス,https://cdn.myanimelist.net/images/company/61.png
62,Shogakukan-Shueisha Productions,小学館集英社プロダクション,https://cdn.myanimelist.net/images/company/62.png
63,Trinet Entertainment,,https://cdn.myanimelist.net/images/company/63.png
64,Sotsu,創通,https://cdn.myanimelist.net/images/company/64.png
65,Tokyo Movie Shinsha,東京ムービー新社,https://cdn.myanimelist.net/images/company/65.png
67,OB Planning,オービー企画,https://cdn.myanimelist.net/images/company/67.png
