country,country_aff,name_ja
Afghanistan,Afghanistan,アフガニスタン
Albania,Albania,アルバニア
Algeria,Algeria,アルジェリア
Angola,Angola,アンゴラ
Argentina,Argentina,アルゼンチン
Armenia,Armenia,アルメニア
Australia,Australia,オーストラリア
Austria,Austria,オーストリア
Azerbaijan,Azerbaijan,アゼルバイジャン
Bangladesh,Bangladesh,バングラデシュ
Belarus,Belarus,ベラルーシ
Belgium,Belgium,ベルギー
Belize,Belize,ベリーズ
Benin,Benin,ベナン
Bhutan,Bhutan,ブータン
Bolivia,Bolivia,ボリビア
Bosnia and Herzegovina,Bosnia and Herzegovina,ボスニア・ヘルツェゴビナ
Botswana,Botswana,ボツワナ
Brazil,Brazil,ブラジル
Brunei,Brunei,ブルネイ
Bulgaria,Bulgaria,ブルガリア
Burkina Faso,Burkina Faso,ブルキナファソ
Burundi,Burundi,ブルンジ
Cambodia,Cambodia,カンボジア
Cameroon,Cameroon,カメルーン
Canada,Canada,カナダ
Central African Republic,Central African Republic,中央アフリカ共和国
Chad,Chad,チャド
Chile,Chile,チリ
China,China,中華人民共和国
Colombia,Colombia,コロンビア
Costa Rica,Costa Rica,コスタリカ
Croatia,Croatia,クロアチア
Cuba,Cuba,キューバ
Cyprus,Cyprus,キプロス
Czech Republic,Czech Republic,チェコ
Democratic Republic of the Congo,Democratic Republic of the Congo,コンゴ民主共和国
Denmark,Denmark,デンマーク
Greenland,Denmark,グリーンランド
Djibouti,Djibouti,ジブチ
Dominican Republic,Dominican Republic,ドミニカ共和国
East Timor,East Timor,東ティモール
Ecuador,Ecuador,エクアドル
Egypt,Egypt,エジプト
El Salvador,El Salvador,エルサルバドル
Equatorial Guinea,Equatorial Guinea,赤道ギニア
Eritrea,Eritrea,エリトリア
Estonia,Estonia,エストニア
Ethiopia,Ethiopia,エチオピア
Fiji,Fiji,フィジー
Finland,Finland,フィンランド
New Caledonia,France,ニューカレドニア
Réunion,France,レユニオン
Martinique,France,マルティニーク
