studio,num_animes
AIC Spirits,10
Passione,10
Dongwoo A&amp;E,10
NAZ,10
Shanghai Foch Film Culture Investment,9
G.CMay Animation &amp; Film,9
G-Lam,9
Trans Arts,9
AIC Build,9
Tokyo Kids,9
Picture Magic,9
Encourage Films,9
OLM Digital,9
Pie in The Sky,9
Studio Eromatick,8
W-Toon Studio,8
Studio Live,8
Blue Cat,8
Pastel,8
Connect,8
Digital Frontier,8
Orange,8
E&amp;G Films,8
C-Station,8
Onionskin,8
C2C,8
Daewon Media,8
Studio Colorido,8
Imagin,8
Fukushima Gainax,8
TROYCA,8
Phoenix Entertainment,7
Minakata Laboratory,7
Studio Rikka,7
Palm Studio,7
Knack Productions,7
Zero-G,7
Yaoyorozu,7
WAO World,7
Next Media Animation,7
Ashi Production,7
10Gauge,6
Marza Animation Planet,6
Nexus,6
Kamikaze Douga,6
Pine Jam,6
PrimeTime,6
Jinnis Animation Studios,6
Studio 1st,6
BreakBottle,6
Studio World,6
Chaos Project,6
Gakken Eigakyoku,6
Vega Entertainment,6
pH Studio,6
Telescreen BV,6
Trinet Entertainment,6
Usagi Ou,6
Milky Cartoon,5
Zero-G Room,5
Office Take Off,5
Opera House,5
AIC Classic,5
AXsiZ,5
Pops Inc.,5
TYPHOON GRAPHICS,5
DAX Production,5
Ascension,5
Shanghai Animation Film Studio,5
Shochiku Animation Institute,5
Shogakukan Music &amp; Digital Entertainment,5
Geno Studio,5
Studio A-CAT,5
Barnum Studio,5
Rising Force,5
Hoods Drifters Studio,5
Ishikawa Pro,5
Remic,4
Steve N&#039; Steven,4
Xebec Zwei,4
Science SARU,4
Egg,4
Bee Media,4
Issen,4
Marvy Jack,4
Craftar,4
Life Work,4
Studio VOLN,4
Shimogumi,4
Planet,4
Studio Animal,4
Platinum Vision,4
L²Studio,4
Oh! Production,4
Kyotoma,4
A-Real,4
Studio Blanc,4
Studio Flag,4
Queen Bee,4
NUT,4
Charaction,4
Studio Kikan,4
Studio Junio,4
GEMBA,4
Plum,3
Studio Egg,3
Inc.,3
Studio Bogey,3
Studio Chizu,3
CG Year,3
2:10 Animation,3
TAKI Corporation,3
ChuChu,3
D &amp; D Pictures,3
Sugar Boy,3
Studio Matrix,3
Square Enix,3
Studio LAN,3
JCF,3
Oddjob,3
Studio Sign,3
Bouncy,3
Darts,3
Echoes,3
HS Pictures Studio,3
DMM.futureworks,3
Robot Communications,3
Yamamura Animation,3
Lesprit,3
Sanrio,3
Lilix,3
Creators Dot Com,3
Agent 21,3
Visual 80,3
Genco,3
Majin,3
Venet,3
Image House,3
Vasoon Animation,3
Tsuchida Productions,3
Mili Pictures,3
Topcraft,3
teamKG,3
Tomovies,3
CloverWorks,3
Minami Machi Bugyousho,3
Anime Antenna Iinkai,3
MooGoo,3
Kenji Studio,3
Pollyanna Graphics,3
Anpro,3
ixtl,3
Ripple Film,2
KAGAYA Studio,2
Circle Tribute,2
Rockwell Eyes,2
SELFISH,2
Sting Ray,2
Japan Vistec,2
Jumondo,2
Ginga Ya,2
Joker Films,2
Calf Studio,2
KeyEast,2
Studio Binzo,2
Studio G-1Neo,2
production doA,2
Hotline,2
drop,2
domerica,2
Husio Studio,2
ACC Production,2
Himajin Planning,2
AIC Frontier,2
Wawayu Animation,2
View Works,2
Triple X,2
An DerCen,2
Tomason,2
Animation Do,2
Toei Video,2
Thundray,2
Three-d,2
Tengu Kobo,2
Imagineer,2
Team YokkyuFuman,2
TUBA,2
Aubec,2
Azeta Pictures,2
Studio! Cucuri,2
Studio Wombat,2
Studio Unicorn,2
BeSTACK,2
Studio Moriken,2
Blade,2
Studio Zero,2
Sotsu,2
Schoolzone,2
Pb Animation Co. Ltd.,2
Light Chaser Animation Studios,2
GARDEN LODGE,2
M2,2
Pink Pineapple,2
MMDGP,2
Digital Media Lab,2
G&amp;G Entertainment,2
Marine Entertainment,2
Kazami Gakuen Koushiki Douga-bu,2
Panda Factory,2
KOO-KI,2
PPM,2
Front Line,2
Oxybot,2
Moss Design Unit,2
Egg Firm,2
Namu Animation,2
Natural High,2
Neft Film,2
Karaku,2
Larx Entertainment,2
FOREST Hunting One,2
Puzzle Animation Studio Limited,2
REALTHING,2
LandQ studios,2
DR Movie,2
Kokusai Eigasha,2
Qualia Animation,2
REVOROOT,2
LMD,2
Purple Cow Studio Japan,2
Kitty Films,2
Public &amp; Basic,2
D.A.S.T.,2
Lapin Track,1
Tele-Cartoon Japan,1
Arcs Create,1
NHK,1
Fifth Avenue,1
Felix Film,1
Nakamura Production,1
Annapuru,1
Think Corporation,1
Mook DLE,1
Anime R,1
Mook Animation,1
NHK Enterprises,1
Indeprox,1
Tamura Shigeru Studio,1
Tama Production,1
Takara Tomy A.R.T.S,1
Tokyo Media Connections,1
Asura Film,1
TOHO animation,1
TOCSIS,1
Automatic Flowers Studio,1
Kino Production,1
T.P.O,1
Nice Boat Animation,1
B&amp;T,1
BOOTLEG,1
Sunwoo Entertainment,1
Bandai Visual,1
Mirai Film,1
Fuji TV,1
Kazuki Production,1
GANSIS,1
Mary Jane,1
Future Planet,1
3xCube,1
GRIZZLY,1
G-angle,1
Amber Film Works,1
Idea Factory,1
Twilight Studio,1
Will Palette,1
AIC Takarazuka,1
81 Produce,1
GEN Productions,1
Yamato Works,1
A-Line,1
Imagica Image Works,1
Tsukimidou,1
iDRAGONS Creative Studio,1
Tri-Slash,1
Yokohama Animation Lab,1
Karasfilms,1
Tomoyasu Murata Company,1
Tonko House,1
Milky Animation Label,1
Animaruya,1
TriF Studio,1
33 Collective,1
Meruhensha,1
Amuse,1
Heewon Entertainment,1
Success Co.,1
Tsuburaya Productions,1
helo.inc,1
Media Bank,1
Rabbit Machine,1
Nishiki Studio,1
Digital Network Animation,1
Chiptune,1
Chippai,1
Sparky Animation,1
Sprite Animation Studios,1
Kaeruotoko Shokai,1
Piko Studio,1
Strawberry Meets Pictures,1
Japan Taps,1
Picona,1
Plus Heads,1
Picograph,1
HeART-BIT,1
Studio Anima,1
Dongyang Animation,1
Dwango,1
Dynamo Pictures,1
Studio CA,1
Panmedia,1
Piso Studio,1
Shueisha,1
Enoki Films,1
Hiro Media,1
Rikuentai,1
Ripromo,1
Romanov Films,1
Cygames,1
SBS TV Production,1
SOEISHINSHA,1
Sakura Create,1
Cyclone Graphics inc,1
CyberConnect2,1
DandeLion Animation Studio LLC,1
KIZAWA Studio,1
Cookie Jar Entertainment,1
Dai Nippon Printing,1
Code,1
Coastline Animation Studio,1
Shinkuukan,1
Primastea,1
Daichi Doga,1
CUCURI,1
Studio Core,1
Studio Dadashow,1
Odolttogi,1
Studio Nanahoshi,1
Studio Nue,1
Studio OX,1
Office Nobu,1
Studio Ponoc,1
Studio Ppuri,1
Office DCI,1
Office AO,1
Studio Take Off,1
Buemon,1
Studio UGOKI,1
Rabbit Gate,1
Ekura Animal,1
Studio WHO,1
Emon,1
Ishimori Entertainment,1
Studio Z5,1
Studio Zealot,1
Kaname Productions,1
Studio Meditation With a Pencil,1
Studio March,1
Beijing Huihuang Animation Company,1
EDGE,1
Iyasakadou Film,1
Boyan Pictures,1
Studio Flad,1
PRA,1
EKACHI EPILKA,1
Oz,1
Big Bang,1
Studio Hakk,1
Bibury Animation Studios,1
Beijing Rocen Digital,1
Studio Khronos,1
Echo,1
Studio Korumi,1
Studio Kyuuma,1
Green Bunny,1
Studio Lings,1
October Media,1
