studio,num_animes
Toei Animation,745
Sunrise,466
Madhouse,349
J.C.Staff,333
Production I.G,302
TMS Entertainment,266
Studio Deen,261
Studio Pierrot,253
Nippon Animation,209
OLM,199
A-1 Pictures,189
Shin-Ei Animation,157
Tatsunoko Production,157
Xebec,145
DLE,144
Gonzo,123
Shaft,120
AIC,118
Bones,117
Kyoto Animation,110
Satelight,88
Production Reed,87
Brain&#039;s Base,86
Silver Link.,83
Gainax,82
Arms,73
Studio 4°C,68
Zexcs,67
Doga Kobo,64
feel.,63
ufotable,60
Seven,55
Studio Gallop,55
Studio Ghibli,53
Studio Hibari,53
Kachidoki Studio,50
Artland,48
TNK,48
Diomedea,47
Group TAC,46
Eiken,43
Lerche,43
P.A. Works,42
SynergySP,42
PoRO,42
Actas,42
LIDENFILMS,41
MAPPA,39
Asahi Production,39
Haoliners Animation League,37
8bit,37
Studio Comet,36
Ajia-Do,36
Wit Studio,36
Studio Gokumi,35
Kinema Citrus,35
Manglobe,34
Telecom Animation Film,33
Tezuka Productions,33
Gathering,32
TYO Animations,31
White Fox,31
A.C.G.T.,31
Mushi Production,30
Hal Film Maker,30
Tokyo Movie Shinsha,29
Daume,29
Polygon Pictures,28
AIC A.S.T.A.,27
Animate Film,27
Magic Bus,27
Nomad,26
T-Rex,25
SANZIGEN,25
Trigger,25
Bee Train,25
Asread,24
Production IMS,24
Studio Fantasia,24
Bandai Namco Pictures,23
Studio Jam,23
David Production,23
GoHands,22
Millepensee,21
Seven Arcs,21
Hoods Entertainment,20
Studio PuYUKAI,20
Office Takeout,20
Seven Arcs Pictures,19
Fanworks,18
Ordet,18
RG Animation Studios,18
dwarf,17
AIC Plus+,17
Creators in Pack,17
APPP,17
Shirogumi,17
Triangle Staff,17
Radix,16
CoMix Wave Films,16
Artmic,16
Flavors Soft,15
Y.O.U.C,15
AT-2,15
Sparkly Key Animation Studio,15
Bridge,15
Shuka,15
EMT²,14
ILCA,14
Studio 9 MAiami,14
Signal. MD,13
Project No.9,13
Collaboration Works,12
Suzuki Mirano,12
Kanaban Graphics,12
Pierrot Plus,12
Khara,12
Yumeta Company,11
Studio 3Hz,11
Graphinica,11
The Answer Studio,11
M.S.C,11
Lay-duce,10
