Genre_Principal,Genre_Secondaire_1,Genre_Secondaire_2,Count,Percent,inOthers
Comedy,Adventure,Fantasy,438,44.10876132930514,0
Comedy,Adventure,Action,392,39.47633434038268,0
Comedy,Adventure,Shounen,335,33.7361530715005,0
Comedy,Adventure,Kids,212,21.34944612286002,0
Comedy,Adventure,Sci-Fi,199,20.040281973816718,0
Comedy,Adventure,Magic,126,12.688821752265861,0
Comedy,Adventure,Drama,124,12.487411883182276,0
Comedy,Adventure,Romance,107,10.775427995971803,0
Comedy,Adventure,Mystery,86,8.660624370594158,0
Comedy,Adventure,Supernatural,82,8.25780463242699,0
Comedy,Adventure,Mecha,81,8.157099697885196,0
Comedy,Adventure,Super Power,78,7.854984894259819,0
Comedy,Adventure,Seinen,67,6.747230614300101,0
Comedy,Adventure,Police,48,4.833836858006042,0
Comedy,Adventure,Historical,47,4.73313192346425,0
Comedy,Adventure,Ecchi,44,4.431017119838872,0
Comedy,Adventure,Martial Arts,37,3.7260825780463245,0
Comedy,Adventure,Shoujo,36,3.6253776435045317,0
Comedy,Adventure,Space,28,2.8197381671701915,0
Comedy,Adventure,Demons,28,2.8197381671701915,0
Comedy,Adventure,School,27,2.719033232628399,0
Comedy,Adventure,Parody,26,2.618328298086606,0
Comedy,Adventure,Sports,20,2.014098690835851,0
Comedy,Adventure,Game,19,1.9133937562940584,0
Comedy,Adventure,Slice of Life,18,17.647058823529413,1
Comedy,Adventure,Military,18,17.647058823529413,1
Comedy,Adventure,Horror,18,17.647058823529413,1
Comedy,Adventure,Harem,12,11.764705882352942,1
Comedy,Adventure,Music,10,9.803921568627452,1
Comedy,Adventure,Samurai,10,9.803921568627452,1
Comedy,Adventure,Hentai,5,4.901960784313726,1
Comedy,Adventure,Psychological,5,4.901960784313726,1
Comedy,Adventure,Vampire,4,3.9215686274509802,1
Comedy,Adventure,Dementia,2,1.9607843137254901,1
Comedy,Adventure,Others,102,10.27190332326284,0
Comedy,Adventure,T,993,18.98298604473332,0
Comedy,Action,Adventure,392,39.83739837398374,0
Comedy,Action,Shounen,366,37.19512195121951,0
Comedy,Action,Fantasy,277,28.150406504065042,0
Comedy,Action,Sci-Fi,249,25.304878048780488,0
Comedy,Action,Super Power,153,15.548780487804878,0
Comedy,Action,Supernatural,122,12.398373983739837,0
Comedy,Action,Drama,120,12.195121951219512,0
Comedy,Action,Ecchi,113,11.483739837398375,0
Comedy,Action,School,111,11.28048780487805,0
Comedy,Action,Romance,110,11.178861788617887,0
Comedy,Action,Mecha,109,11.077235772357724,0
Comedy,Action,Magic,105,10.670731707317072,0
Comedy,Action,Seinen,93,9.451219512195122,0
Comedy,Action,Parody,76,7.723577235772358,0
Comedy,Action,Mystery,75,7.621951219512195,0
Comedy,Action,Martial Arts,65,6.605691056910569,0
Comedy,Action,Kids,64,6.504065040650406,0
Comedy,Action,Historical,49,4.979674796747967,0
Comedy,Action,Harem,49,4.979674796747967,0
Comedy,Action,Sports,47,4.776422764227642,0
Comedy,Action,Samurai,39,3.9634146341463414,0
Comedy,Action,Police,36,3.658536585365854,0
Comedy,Action,Demons,35,3.5569105691056913,0
Comedy,Action,Space,28,2.845528455284553,0
Comedy,Action,Military,24,18.3206106870229,1
Comedy,Action,Shoujo,23,17.557251908396946,1
Comedy,Action,Slice of Life,18,13.740458015267176,1
Comedy,Action,Horror,16,12.213740458015268,1
Comedy,Action,Vampire,16,12.213740458015268,1
Comedy,Action,Game,11,8.396946564885496,1
Comedy,Action,Hentai,9,6.870229007633588,1
Comedy,Action,Music,7,5.343511450381679,1
Comedy,Action,Dementia,4,3.053435114503817,1
Comedy,Action,Psychological,3,2.2900763358778624,1
Comedy,Action,Others,131,13.3130081300813,0
Comedy,Action,T,984,18.810934811699482,0
Comedy,Shounen,Action,366,38.04573804573805,0
Comedy,Shounen,Adventure,335,34.82328482328482,0
Comedy,Shounen,Fantasy,242,25.155925155925157,0
Comedy,Shounen,Sci-Fi,220,22.86902286902287,0
Comedy,Shounen,School,199,20.686070686070686,0
Comedy,Shounen,Romance,148,15.384615384615385,0
Comedy,Shounen,Supernatural,141,14.656964656964657,0
Comedy,Shounen,Sports,134,13.92931392931393,0
Comedy,Shounen,Drama,113,11.746361746361746,0
Comedy,Shounen,Super Power,108,11.226611226611226,0
Comedy,Shounen,Ecchi,90,9.355509355509355,0
Comedy,Shounen,Magic,72,7.484407484407485,0
Comedy,Shounen,Mystery,69,7.172557172557172,0
Comedy,Shounen,Slice of Life,64,6.652806652806653,0
Comedy,Shounen,Mecha,61,6.340956340956341,0
Comedy,Shounen,Martial Arts,60,6.237006237006237,0
Comedy,Shounen,Kids,59,6.133056133056133,0
Comedy,Shounen,Harem,59,6.133056133056133,0
Comedy,Shounen,Police,55,5.717255717255718,0
Comedy,Shounen,Parody,54,5.613305613305613,0
Comedy,Shounen,Historical,43,22.513089005235603,1
Comedy,Shounen,Demons,33,17.277486910994764,1
Comedy,Shounen,Samurai,24,12.565445026178011,1
Comedy,Shounen,Space,21,10.99476439790576,1
Comedy,Shounen,Horror,17,8.900523560209423,1
Comedy,Shounen,Military,15,7.853403141361256,1
Comedy,Shounen,Game,15,7.853403141361256,1
Comedy,Shounen,Vampire,13,6.806282722513089,1
Comedy,Shounen,Music,8,4.18848167539267,1
Comedy,Shounen,Psychological,2,1.0471204188481675,1
Comedy,Shounen,Others,191,19.854469854469855,0
Comedy,Shounen,T,962,18.390365130950105,0
Comedy,Fantasy,Adventure,438,46.056782334384856,0
Comedy,Fantasy,Action,277,29.127234490010515,0
Comedy,Fantasy,Shounen,242,25.44689800210305,0
Comedy,Fantasy,Kids,237,24.9211356466877,0
Comedy,Fantasy,Magic,218,22.923238696109358,0
Comedy,Fantasy,Romance,137,14.405888538380651,0
Comedy,Fantasy,Drama,100,10.515247108307046,0
Comedy,Fantasy,Supernatural,98,10.304942166140904,0
Comedy,Fantasy,Ecchi,82,8.622502628811777,0
Comedy,Fantasy,Sci-Fi,81,8.517350157728707,0
Comedy,Fantasy,Shoujo,75,7.886435331230284,0
Comedy,Fantasy,School,67,7.04521556256572,0
Comedy,Fantasy,Super Power,65,6.8349106203995795,0
