anime_id,title,type,image_url,score,premiered,Comedy,Action,Fantasy,Adventure,Drama,Sci-Fi,Kids,Shounen,Romance,Slice of Life,School,Music,Supernatural,Hentai,Mecha,Historical,Magic,Seinen,Ecchi,Shoujo,Sports,Mystery,Parody,Super Power,Military,Space,Horror,Demons,Harem,Martial Arts,Dementia,Game,Psychological,Police,Samurai,Vampire
4181,Clannad: After Story,TV,https://cdn.myanimelist.net/images/anime/13/24647.jpg,9.01,Fall 2008,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,https://cdn.myanimelist.net/images/anime/7/81992.jpg,8.99,Fall 2016,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2904,Code Geass: Hangyaku no Lelouch R2,TV,https://cdn.myanimelist.net/images/anime/4/9391.jpg,8.95,Spring 2008,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
199,Sen to Chihiro no Kamikakushi,Movie,https://cdn.myanimelist.net/images/anime/6/79597.jpg,8.92,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34599,Made in Abyss,TV,https://cdn.myanimelist.net/images/anime/1922/91900.jpg,8.91,Summer 2017,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23273,Shigatsu wa Kimi no Uso,TV,https://cdn.myanimelist.net/images/anime/3/67177.jpg,8.88,Fall 2014,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31758,Kizumonogatari III: Reiketsu-hen,Movie,https://cdn.myanimelist.net/images/anime/8/82911.jpg,8.87,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,https://cdn.myanimelist.net/images/anime/10/82947.jpg,8.87,Winter 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28891,Haikyuu!! Second Season,TV,https://cdn.myanimelist.net/images/anime/9/76662.jpg,8.87,Fall 2015,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36838,Gintama.: Shirogane no Tamashii-hen,TV,https://cdn.myanimelist.net/images/anime/12/89603.jpg,8.85,Winter 2018,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
24701,Mushishi Zoku Shou 2nd Season,TV,https://cdn.myanimelist.net/images/anime/9/68095.jpg,8.83,Fall 2014,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Cowboy Bebop,TV,https://cdn.myanimelist.net/images/anime/4/19644.jpg,8.81,Spring 1998,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
